stationName,stationCode,latitude,longitude,altitude,launchDate,url
SãoGabrieldaCachoeira,A134,-0.125207,-67.061246,80,31/08/2011,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEzNA==
Urucará,A124,-2.534749,-57.758099,18,17/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTEyNA==
Itaubal,A251,0.5678333,-50.8235278,21,24/08/2017,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTI1MQ==
Macapá,A249,0.035020,-51.088763,17,12/12/2013,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTI0OQ==
Oiapoque,A242,3.813583,-51.862500,15,11/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTI0Mg==
Tartarugalzinho,A243,1.496667,-50.9167,21,07/09/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTI0Mw==
Abrolhos,A422,-17.963016,-38.703288,21,21/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyMg==
Amargosa,A434,-13.009468,-39.616881,398,11/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzNA==
Barra,A429,-11.084858,-43.138998,408,12/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyOQ==
Barreiras,A402,-12.124715,-45.027049,474,20/12/2001,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwMg==
Belmonte,A447,-16.088049,-39.215389,90,02/07/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0Nw==
BomJesusdaLapa,A418,-13.251094,-43.405365,448,18/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxOA==
Brumado,A433,-14.181886,-41.672281,473,28/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzMw==
Buritirama,A432,-10.722925,-43.651203,506,15/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzMg==
Caravelas,A405,-17.739413,-39.258617,6,20/12/2002,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwNQ==
Conde,A431,-12.035833,-37.683889,32,07/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzMQ==
Correntina,A416,-13.332386,-44.617376,552,09/11/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxNg==
CruzdasAlmas,A406,-12.675422,-39.089580,220,19/01/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwNg==
Curaçá,A448,-9.0013,-39.9124,370,20/08/2015,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0OA==
Delfino,A443,-10.454920,-41.206996,646,15/07/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0Mw==
EuclidesdaCunha,A442,-10.537233,-38.996605,432,31/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0Mg==
FeiradeSantana,A413,-12.196200,-38.967384,230,26/05/2007,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxMw==
FormosadoRioPreto,A452,-11.0521639,-45.2007694,488,02/06/2016,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ1Mg==
Guanambi,A426,-14.2081235,-42.749647,552,24/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyNg==
Ibotirama,A439,-12.193060,-43.213420,425,28/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQzOQ==
Ilhéus,A410,-14.658803,-39.181438,80,25/01/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQxMA==
Ipiaú,A445,-14.171304,-39.692502,132,30/06/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0NQ==
Irecê,A424,-11.328998,-41.864504,768,31/03/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyNA==
Itaberaba,A408,-12.524062,-40.299714,250,29/01/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwOA==
Itamaraju,A455,-17.436667,-39.550861,110,28/05/2016,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ1NQ==
Itapetinga,A446,-15.24462,-40.22955,271,25/06/2009,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0Ng==
Itiruçu,A407,-13.527828,-40.119752,757,09/02/2003,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwNw==
Jacobina,A440,-11.205136,-40.464979,441,01/05/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ0MA==
Jeremoabo,A450,-10.0807,-38.3459,261,13/08/2015,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQ1MA==
Lençóis,A425,-12.557854,-41.388808,438,05/04/2008,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQyNQ==
LuisEduardoMagalhaes,A404,-12.152394,-45.829745,761,18/04/2002,http://www.inmet.gov.br/sonabra/pg_dspDadosCodigo_sim.php?QTQwNA==
